Latitude,Longitude
26.9124049,75.7873158
26.9124098,75.7873158
26.9124147,75.7873158
26.9124196,75.7873158
26.9124245,75.7873158
26.9124294,75.7873158
26.9124343,75.7873158
26.9124392,75.7873158
26.9124441,75.7873158
26.9124490,75.7873158
26.9124539,75.7873158
26.9124588,75.7873158
26.9124636,75.7873158
26.9124685,75.7873158
26.9124734,75.7873158
26.9124783,75.7873158
26.9124832,75.7873158
26.9124881,75.7873158
26.9124930,75.7873158
26.9124979,75.7873158
26.9125028,75.7873158
26.9125077,75.7873158
26.9125126,75.7873158
26.9125175,75.7873158
26.9125224,75.7873158
26.9125273,75.7873158
26.9125322,75.7873158
26.9125371,75.7873158
26.9125420,75.7873158
26.9125469,75.7873158
26.9125518,75.7873158
26.9125567,75.7873158
26.9125616,75.7873158
26.9125665,75.7873158
26.9125714,75.7873158
26.9125763,75.7873158
26.9125812,75.7873158
26.9125860,75.7873158
26.9125909,75.7873158
26.9125958,75.7873158
26.9126007,75.7873158
26.9126056,75.7873158
26.9126105,75.7873158
26.9126154,75.7873158
26.9126203,75.7873158
26.9126252,75.7873158
26.9126301,75.7873158
26.9126350,75.7873158
26.9126399,75.7873158
26.9126448,75.7873158
26.9126497,75.7873158
26.9126546,75.7873158
26.9126595,75.7873158
26.9126644,75.7873158
26.9126693,75.7873158
26.9126742,75.7873158
26.9126791,75.7873158
26.9126840,75.7873158
26.9126889,75.7873158
26.9126938,75.7873158
26.9126987,75.7873158
26.9127036,75.7873158
26.9127084,75.7873158
26.9127133,75.7873158
26.9127182,75.7873158
26.9127231,75.7873158
26.9127280,75.7873158
26.9127329,75.7873158
26.9127378,75.7873158
26.9127427,75.7873158
26.9127476,75.7873158
26.9127525,75.7873158
26.9127574,75.7873158
26.9127623,75.7873158
26.9127672,75.7873158
26.9127721,75.7873158
26.9127770,75.7873158
26.9127819,75.7873158
26.9127868,75.7873158
26.9127917,75.7873158
26.9127966,75.7873158
26.9128015,75.7873158
26.9128064,75.7873158
26.9128113,75.7873158
26.9128162,75.7873158
26.9128211,75.7873158
26.9128260,75.7873158
26.9128308,75.7873158
26.9128357,75.7873158
26.9128406,75.7873158
